Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
08/08/14,Reims,Paris SG,2.0,2.0,D,9.0,16.0,3.0,6.0,1.0,5.0,15.0,16.0,0.0,2.0,0.0,0.0
09/08/14,Bastia,Marseille,3.0,3.0,D,13.0,9.0,4.0,4.0,1.0,4.0,25.0,21.0,3.0,1.0,0.0,0.0
09/08/14,Evian Thonon Gaillard,Caen,0.0,3.0,A,10.0,12.0,2.0,7.0,5.0,6.0,12.0,9.0,1.0,1.0,0.0,0.0
09/08/14,Guingamp,St Etienne,0.0,2.0,A,6.0,7.0,3.0,2.0,4.0,5.0,9.0,19.0,3.0,4.0,0.0,0.0
09/08/14,Lille,Metz,0.0,0.0,D,14.0,2.0,3.0,1.0,8.0,3.0,9.0,23.0,0.0,1.0,0.0,0.0
09/08/14,Montpellier,Bordeaux,0.0,1.0,A,15.0,7.0,3.0,3.0,5.0,1.0,15.0,21.0,2.0,2.0,0.0,0.0
09/08/14,Nantes,Lens,1.0,0.0,H,14.0,5.0,4.0,2.0,3.0,2.0,8.0,7.0,0.0,1.0,0.0,0.0
09/08/14,Nice,Toulouse,3.0,2.0,H,22.0,11.0,8.0,3.0,12.0,7.0,10.0,9.0,0.0,1.0,0.0,0.0
10/08/14,Lyon,Rennes,2.0,0.0,H,19.0,7.0,6.0,1.0,5.0,1.0,19.0,13.0,2.0,1.0,0.0,0.0
10/08/14,Monaco,Lorient,1.0,2.0,A,12.0,9.0,7.0,3.0,10.0,4.0,11.0,19.0,3.0,2.0,1.0,0.0
15/08/14,Caen,Lille,0.0,1.0,A,11.0,8.0,3.0,1.0,3.0,9.0,10.0,4.0,2.0,2.0,1.0,0.0
16/08/14,Lens,Guingamp,0.0,1.0,A,14.0,10.0,4.0,4.0,7.0,2.0,14.0,5.0,4.0,1.0,0.0,0.0
16/08/14,Lorient,Nice,0.0,0.0,D,13.0,9.0,6.0,2.0,8.0,2.0,14.0,10.0,1.0,1.0,0.0,0.0
16/08/14,Metz,Nantes,1.0,1.0,D,12.0,6.0,5.0,2.0,4.0,7.0,12.0,17.0,2.0,1.0,0.0,0.0
16/08/14,Paris SG,Bastia,2.0,0.0,H,15.0,5.0,5.0,1.0,4.0,4.0,9.0,15.0,1.0,3.0,0.0,0.0
16/08/14,Rennes,Evian Thonon Gaillard,6.0,2.0,H,9.0,9.0,7.0,3.0,6.0,1.0,4.0,12.0,0.0,1.0,0.0,0.0
16/08/14,Toulouse,Lyon,2.0,1.0,H,10.0,18.0,6.0,3.0,6.0,4.0,11.0,12.0,3.0,1.0,0.0,0.0
17/08/14,Bordeaux,Monaco,4.0,1.0,H,9.0,9.0,5.0,3.0,3.0,4.0,12.0,21.0,1.0,3.0,0.0,0.0
17/08/14,Marseille,Montpellier,0.0,2.0,A,22.0,10.0,5.0,3.0,6.0,1.0,18.0,17.0,1.0,0.0,0.0,0.0
17/08/14,St Etienne,Reims,3.0,1.0,H,19.0,7.0,9.0,2.0,6.0,3.0,8.0,11.0,2.0,2.0,0.0,0.0
22/08/14,Evian Thonon Gaillard,Paris SG,0.0,0.0,D,9.0,7.0,2.0,3.0,5.0,0.0,18.0,7.0,3.0,2.0,0.0,1.0
23/08/14,Bastia,Toulouse,1.0,0.0,H,8.0,14.0,3.0,3.0,3.0,0.0,13.0,19.0,3.0,1.0,0.0,0.0
23/08/14,Guingamp,Marseille,0.0,1.0,A,4.0,16.0,2.0,3.0,4.0,6.0,16.0,14.0,1.0,3.0,0.0,0.0
23/08/14,Lille,Lorient,2.0,0.0,H,13.0,7.0,6.0,1.0,2.0,3.0,12.0,8.0,0.0,1.0,0.0,0.0
23/08/14,Montpellier,Metz,2.0,0.0,H,12.0,12.0,5.0,3.0,5.0,5.0,13.0,19.0,0.0,2.0,0.0,0.0
23/08/14,Nice,Bordeaux,1.0,3.0,A,11.0,12.0,2.0,7.0,7.0,1.0,12.0,21.0,2.0,4.0,0.0,1.0
23/08/14,Reims,Caen,0.0,2.0,A,12.0,16.0,4.0,6.0,5.0,3.0,4.0,12.0,1.0,0.0,0.0,0.0
24/08/14,Lyon,Lens,0.0,1.0,A,16.0,7.0,4.0,2.0,5.0,1.0,19.0,17.0,1.0,3.0,0.0,0.0
